provider	category	event_id	version	event(fields)	event_type	description
Active Directory Domain Services: SAM	{dbc0ceab-cff3-4c0f-85f2-0c2107142f36}	2	0	SamCloseHandle_End()	End	SAM Close Handle
Active Directory Domain Services: SAM	{e1cb227a-6d55-4282-a5f7-6fa4a5922c0b}	1	0	SamQueryInfoUser_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM Query Information User
Active Directory Domain Services: SAM	{e1cb227a-6d55-4282-a5f7-6fa4a5922c0b}	2	0	SamQueryInfoUser_End()	End	SAM Query Information User
Active Directory Domain Services: SAM	{e712d39d-a3a6-4224-a1bd-4717b24e4e8c}	1	0	SamSetInfoAlias_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM Set Information Alias
Active Directory Domain Services: SAM	{e712d39d-a3a6-4224-a1bd-4717b24e4e8c}	2	0	SamSetInfoAlias_End()	End	SAM Set Information Alias
Active Directory Domain Services: SAM	{eb225178-f5f0-42b7-895b-db89276f647a}	1	0	SamQueryDisplayInfo_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM Query Display Information
Active Directory Domain Services: SAM	{eb225178-f5f0-42b7-895b-db89276f647a}	2	0	SamQueryDisplayInfo_End()	End	SAM Query Display Information
Active Directory Domain Services: SAM	{f1fea491-bfa6-436c-a178-a70d03b4fb1a}	1	0	SamEnumAliasesInDom_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM Enumerate Aliases In Domain
Active Directory Domain Services: SAM	{f1fea491-bfa6-436c-a178-a70d03b4fb1a}	2	0	SamEnumAliasesInDom_End()	End	SAM Enumerate Aliases In Domain
Active Directory Domain Services: SAM	{f8012701-7e99-49c5-b832-1db8bc4a610d}	1	0	SamShutdownSamSrv_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM Shutdown SAM Server
Active Directory Domain Services: SAM	{f8012701-7e99-49c5-b832-1db8bc4a610d}	2	0	SamShutdownSamSrv_End()	End	SAM Shutdown SAM Server
Active Directory Domain Services: SAM	{f9d2ba6a-899c-11d2-819e-0000f875a064}	1	0	SamAddMemGrp_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM Add Member to Group
Active Directory Domain Services: SAM	{f9d2ba6a-899c-11d2-819e-0000f875a064}	2	0	SamAddMemGrp_End()	End	SAM Add Member to Group
Active Directory Domain Services: SAM	{fbfe2540-452b-41bb-9219-dfb6fd1a129b}	1	0	SamDeleteAlias_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM Delete Alias
Active Directory Domain Services: SAM	{fbfe2540-452b-41bb-9219-dfb6fd1a129b}	2	0	SamDeleteAlias_End()	End	SAM Delete Alias
Active Directory Domain Services: SAM	{ff0c6ce2-9528-4a91-b9c7-bcf834b6f79a}	1	0	SamGetDomPwdInfo_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM Get Domain Password Information
Active Directory Domain Services: SAM	{ff0c6ce2-9528-4a91-b9c7-bcf834b6f79a}	2	0	SamGetDomPwdInfo_End()	End	SAM Get Domain Password Information
